,SRR5962198,SRR5962199,SRR5962200,SRR5962201,SRR5962202,SRR5962203,SRR5962204,SRR5962205,SRR5962206,SRR5962207,SRR5962208,SRR5962209,SRR5962210,SRR5962211,SRR5962212,SRR5962213,SRR5962214,SRR5962215,SRR5962216,SRR5962217,SRR5962218,SRR5962219,SRR5962220,SRR5962221,SRR5962222,SRR5962223,SRR5962224,SRR5962225,SRR5962226,SRR5962227,SRR5962228,SRR5962229,SRR5962230,SRR5962231,SRR5962232,SRR5962233,SRR5962234,SRR5962235,SRR5962236,SRR5962237,SRR5962238,SRR5962239,SRR5962240,SRR5962241
ENSG00000105855,237,113,1620,335,4334,142,553,420,136,216,3895,1218,1626,309,873,7056,6089,2813,3914,280,8478,858,212,1026,212,1033,1419,560,3696,4139,295,820,632,1200,2672,2076,1904,1077,2338,6653,48305,3784,2292,193
ENSG00000105854,472,296,775,1305,880,753,2437,460,258,404,805,555,375,591,728,1949,2182,1325,1352,1806,1779,1183,90,656,1977,508,2269,1260,2719,2029,641,1432,1858,387,1249,1099,1787,1265,3045,1608,3316,2556,1379,441
ENSG00000111481,550,339,1382,2078,1462,742,7752,830,435,468,274,888,463,989,1281,2930,2991,2788,1624,1246,2054,4288,43,461,2474,707,3017,10185,3408,4448,1171,2536,2052,778,4799,1992,1534,1865,1654,4731,3475,4642,1554,1535
ENSG00000105856,1449,915,3108,5228,3006,2163,8154,1889,696,1040,1780,1806,1814,957,1198,4460,6090,6097,4451,4209,4888,4470,187,1493,1969,783,2845,6003,5448,6893,911,1271,3044,689,5066,2881,2694,2421,4434,4774,3359,5177,2800,2383
ENSG00000105851,154,94,298,681,532,400,1590,313,38,106,173,253,91,117,153,296,645,476,596,323,562,88,36,142,158,95,685,1207,590,836,226,146,321,121,605,108,241,324,967,1000,332,1354,590,216
ENSG00000079689,8,0,9,8,11,0,35,6,0,11,0,12,0,0,59,17,6,35,30,49,339,11,0,0,0,535,27,39,0,0,0,0,11,0,32,0,6,18,11,0,0,0,0,14
ENSG00000105852,14,13,289,75,295,54,747,82,28,18,127,86,81,84,37,278,589,159,497,74,1625,55,0,117,886,5,134,31,788,154,57,12,41,95,184,489,15,63,230,49,492,135,56,89
ENSG00000142252,37,35,106,95,82,73,472,96,25,43,125,76,49,84,113,320,198,165,136,110,205,468,0,156,172,90,270,475,458,428,80,118,306,72,516,182,249,146,272,380,294,298,266,197
ENSG00000012174,275,135,546,943,652,446,1705,350,157,197,324,452,298,182,359,1068,1583,882,941,1005,1141,2110,41,442,477,339,1016,2540,1166,1250,102,882,587,241,1837,584,1003,540,513,1406,1360,1804,1281,1092
ENSG00000131002,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000012171,157,123,352,1285,104,171,515,178,271,251,355,308,81,390,1242,652,701,751,521,883,732,1070,14,261,357,231,1108,767,304,246,109,330,228,250,148,783,2729,298,210,1003,2309,226,679,358
ENSG00000220447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6
ENSG00000131007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000135587,21,9,89,135,144,42,530,101,32,61,236,103,31,120,119,455,304,267,215,163,345,310,6,79,189,47,341,656,439,394,48,186,265,65,301,241,365,204,503,276,139,389,288,178
ENSG00000221310,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,2
ENSG00000221313,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,2,2,0,0,0,0,0,6
ENSG00000221312,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,3
ENSG00000214111,0,0,0,0,3,0,0,0,0,0,0,2,0,0,21,0,4,0,0,0,0,3,0,0,0,0,6,3,3,0,0,0,1,3,0,0,9,17,0,0,0,3,13,3
ENSG00000221317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5
ENSG00000221316,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1
ENSG00000221319,0,0,0,1,2,2,3,1,0,0,1,1,2,0,0,6,5,0,2,0,3,0,0,0,0,0,2,13,3,1,0,0,2,0,8,2,4,1,2,4,3,2,0,4
ENSG00000257022,4,0,0,0,31,0,0,5,0,0,0,0,0,0,17,0,10,6,10,8,0,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,2,6,0,2,0,0,11,11
ENSG00000214110,150,59,206,301,178,187,594,126,80,106,132,211,37,169,216,309,127,128,365,659,334,321,11,97,320,81,416,898,310,240,85,342,148,61,225,224,341,186,42,83,419,502,211,97
ENSG00000196098,0,0,0,3,14,0,0,0,3,0,0,0,0,0,3,2,3,0,6,0,0,0,0,0,0,0,3,14,0,3,0,0,0,3,0,0,8,10,6,0,0,0,0,21
ENSG00000071082,2775,2001,12134,10698,7759,4956,29522,10011,1737,2195,4000,7911,9485,3934,4689,12116,17384,13216,13111,9835,10808,36231,557,4016,8356,4097,9627,12868,33891,31181,2211,4776,11119,3258,34453,13723,23300,7685,9385,14555,5627,12125,7853,12343
ENSG00000124490,0,0,9,0,11,0,11,0,0,0,0,0,0,0,7,33,25,9,0,12,19,0,0,0,11,0,7,11,0,0,0,6,0,0,0,0,0,8,14,0,0,0,0,15
